# Copyright (c) 2023, Arm Limited.
# SPDX-License-Identifier: Apache-2.0
# Auto-generated from actuation_format_bag
1672931040576212977,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040601654822,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040626352026,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040651354000,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040676265689,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040701341357,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040726445423,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040752126622,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040776215997,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040801436316,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040826317982,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040851185568,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040876480092,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040901284502,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040926253262,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040951118297,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040976210823,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931041001281457,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931041028046859,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931041051240468,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931041076225382,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931041101331848,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931041126297394,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931041151183780,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931041176199786,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931041201522004,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931041226402683,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931041251433608,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931041276370021,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931041302489900,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931041326464940,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931041351248727,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931041377866705,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931041401316556,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931041426656820,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931041451287641,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931041476166626,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931041501476500,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931041526374048,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931041551233758,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931041576320947,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931041601382786,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931041626297495,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931041653287284,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931041676323368,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931041701426579,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931041726352497,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931041751195352,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931041776237470,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931041803265680,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931041826700507,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931041851210106,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931041876226999,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931041901302239,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931041926344739,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931041951391538,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931041978305141,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931042001492643,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931042026342196,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931042051304649,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931042076287606,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931042101347769,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931042126517004,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931042151389191,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931042176164460,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931042201866351,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931042226443886,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931042251194145,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931042276274004,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931042301199648,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931042326524606,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931042351429915,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931042376227276,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931042401338837,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931042426498834,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931042451207629,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931042476208244,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931042501487086,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931042526396200,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931042551143984,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931042576317030,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931042601215210,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931042626416475,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931042651300063,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931042678216869,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931042701335281,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931042726329701,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931042752638553,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931042776926124,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931042801315695,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931042826384074,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931042851264214,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931042876230339,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931042901310808,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931042926226589,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931042951173875,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931042976252875,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931043001215892,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931043026264656,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931043051168834,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931043076176139,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931043101472281,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931043126466565,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931043151381195,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931043176307874,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931043201154261,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931043226325763,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931043251279007,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931043276157033,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931043301181359,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931043326341955,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931043351223330,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931043376142274,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931043401188815,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931043426341842,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931043451203667,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931043476547450,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931043501121977,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931043526319907,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931043551239837,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931043576259108,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931043601204556,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931043626385226,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931043651191859,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
